STT,DATE,OrderNumber,SKU,PCS,ReferenceID,Location,Alley_Number,Cellule,Coord,AlleyCell,Status,Expiry
60,12/11/2018,3779923,399573,1,399573,A1119504,A11,19,"[19.5, 21.0, 1]",A1119,0,12/11/2023
61,12/11/2018,3779923,452873,1,452873,A0520304,A05,20,"[37.75, 21.0, 1]",A0520,0,12/11/2023
62,12/11/2018,3779930,419208,1,419208,A0503301,A05,3,"[39.0, 9.0, 1]",A0503,0,12/11/2023
63,12/11/2018,3779887,399573,1,399573,A1119504,A11,19,"[19.5, 21.0, 1]",A1119,0,12/11/2023
64,12/11/2018,3781799,399573,1,399573,A1119504,A11,19,"[19.5, 21.0, 1]",A1119,0,12/11/2023
65,12/11/2018,3781789,335727,1,335727,A0202108,A02,2,"[47.5, 6.0, 1]",A0202,0,12/11/2023
66,12/11/2018,3781784,411107,1,411107,A0614103,A06,14,"[34.5, 16.5, 1]",A0614,0,12/11/2023
67,12/11/2018,3781780,263738,1,263738,A0412503,A04,12,"[41.0, 15.0, 1]",A0412,0,12/11/2023
68,12/11/2018,3781778,353788,1,353788,A0906503,A09,6,"[24, 10.5, 1]",A0906,0,12/11/2023
69,12/11/2018,3781765,366659,2,366659,A0510402,A05,10,"[37.75, 13.5, 1]",A0510,0,12/11/2023
70,12/11/2018,3781765,466406,2,466406,A1007501,A10,7,"[22.75, 12.0, 1]",A1007,0,12/11/2023
71,12/11/2018,3781763,465577,1,465577,A1004103,A10,4,"[20.75, 9.0, 1]",A1004,0,12/11/2023
72,12/11/2018,3781737,263738,1,263738,A0412503,A04,12,"[41.0, 15.0, 1]",A0412,0,12/11/2023
73,12/11/2018,3781730,288155,1,288155,A0612503,A06,12,"[34.5, 15.0, 1]",A0612,0,12/11/2023
74,12/11/2018,3781730,362503,1,362503,A0710204,A07,10,"[31.25, 13.5, 1]",A0710,0,12/11/2023
75,12/11/2018,3781730,401415,1,401415,A0612101,A06,12,"[34.5, 15.0, 1]",A0612,0,12/11/2023
76,12/11/2018,3781730,401416,1,401416,A0612104,A06,12,"[34.5, 15.0, 1]",A0612,0,12/11/2023
77,12/11/2018,3781722,263928,1,263928,A0416404,A04,16,"[41.0, 18.0, 1]",A0416,0,12/11/2023
78,12/11/2018,3781708,202889,1,202889,A0914502,A09,14,"[24, 16.5, 1]",A0914,0,12/11/2023
79,12/11/2018,3781698,348799,1,348799,A1009503,A10,9,"[22.75, 13.5, 1]",A1009,0,12/11/2023
80,12/11/2018,3781699,450075,1,450075,A0916101,A09,16,"[24, 18.0, 1]",A0916,0,12/11/2023
81,12/11/2018,3781691,432234,1,432234,A0407103,A04,7,"[42.25, 12.0, 1]",A0407,0,12/11/2023
82,12/11/2018,3781687,424786,1,424786,A1014403,A10,14,"[20.75, 16.5, 1]",A1014,0,12/11/2023
83,12/11/2018,3781682,253469,1,253469,A0604504,A06,4,"[34.5, 9.0, 1]",A0604,0,12/11/2023
84,12/11/2018,3781680,389088,1,389088,A0309106,A03,9,"[45.5, 13.5, 1]",A0309,0,12/11/2023
85,12/11/2018,3781681,449731,1,449731,A0918103,A09,18,"[24, 19.5, 1]",A0918,0,12/11/2023
86,12/11/2018,3781669,389080,1,389080,A0312506,A03,12,"[44.25, 15.0, 1]",A0312,0,12/11/2023
87,12/11/2018,3781657,264149,1,264149,A0911204,A09,11,"[26, 15.0, 1]",A0911,0,12/11/2023
88,12/11/2018,3781560,349867,1,349867,A0719104,A07,19,"[32.5, 21.0, 1]",A0719,0,12/11/2023
89,12/11/2018,3781548,369973,1,369973,A0606502,A06,6,"[34.5, 10.5, 1]",A0606,0,12/11/2023
90,12/11/2018,3781521,450077,1,450077,A0920204,A09,20,"[24, 21.0, 1]",A0920,1,12/11/2023
91,12/11/2018,3781521,450078,1,450078,A0904104,A09,4,"[24, 9.0, 1]",A0904,1,12/11/2023
92,12/11/2018,3781521,465577,1,465577,A1004103,A10,4,"[20.75, 9.0, 1]",A1004,1,12/11/2023
93,12/11/2018,3781517,340100,1,340100,A0610401,A06,10,"[34.5, 13.5, 1]",A0610,1,12/11/2023
94,12/11/2018,3781517,459891,1,459891,A0916202,A09,16,"[24, 18.0, 1]",A0916,1,12/11/2023
95,12/11/2018,3781517,459892,1,459892,A0917401,A09,17,"[26, 19.5, 1]",A0917,1,12/11/2023
96,12/11/2018,3781517,459893,1,459893,A0919504,A09,19,"[26, 21.0, 1]",A0919,1,12/11/2023
97,12/11/2018,3781509,348799,1,348799,A1009503,A10,9,"[22.75, 13.5, 1]",A1009,0,12/11/2023
98,12/11/2018,3781499,370781,1,370781,A1008402,A10,8,"[20.75, 12.0, 1]",A1008,0,12/11/2023
99,12/11/2018,3781490,461527,1,461527,A0313306,A03,13,"[45.5, 16.5, 1]",A0313,0,12/11/2023
100,12/11/2018,3781488,454369,2,454369,A0608204,A06,8,"[34.5, 12.0, 1]",A0608,0,12/11/2023
