Wave_Number,Distance_Route,Chemins,Orders_Number,Order_ID,Status
18,98.0,"[[0, 0, 0], [24, 0, 0], [24, 9.0, 1], [24, 25, 0], [19.5, 25, 0], [19.5, 21.0, 1], [19.5, 0, 0], [0, 0, 0]]",2,[3780060 3780007],0
19,107.0,"[[0, 0, 0], [32.5, 0, 0], [32.5, 15.0, 1], [32.5, 21.0, 1], [32.5, 0, 0], [0, 0, 0]]",2,[3779985 3779972],0
20,136.0,"[[0, 0, 0], [19.5, 0, 0], [19.5, 21.0, 1], [19.5, 25, 0], [37.75, 25, 0], [37.75, 21.0, 1], [37.75, 25, 0], [39.0, 25, 0], [39.0, 9.0, 1], [39.0, 0, 0], [0, 0, 0]]",2,[3779923 3779930],0
21,81.0,"[[0, 0, 0], [19.5, 0, 0], [19.5, 21.0, 1], [19.5, 0, 0], [0, 0, 0]]",2,[3779887 3781799],0
22,140.0,"[[0, 0, 0], [34.5, 0, 0], [34.5, 16.5, 1], [34.5, 0, 0], [47.5, 0, 0], [47.5, 6.0, 1], [47.5, 0, 0], [0, 0, 0]]",2,[3781789 3781784],0
23,132.0,"[[0, 0, 0], [24, 0, 0], [24, 10.5, 1], [24, 25, 0], [41.0, 25, 0], [41.0, 15.0, 1], [41.0, 0, 0], [0, 0, 0]]",2,[3781780 3781778],0
24,143.5,"[[0, 0, 0], [20.75, 0, 0], [20.75, 9.0, 1], [20.75, 0, 0], [22.75, 0, 0], [22.75, 12.0, 1], [22.75, 25, 0], [37.75, 25, 0], [37.75, 13.5, 1], [37.75, 0, 0], [0, 0, 0]]",2,[3781765 3781763],0
25,152.0,"[[0, 0, 0], [31.25, 0, 0], [31.25, 13.5, 1], [31.25, 25, 0], [34.5, 25, 0], [34.5, 15.0, 1], [34.5, 15.0, 1], [34.5, 25, 0], [41.0, 25, 0], [41.0, 15.0, 1], [41.0, 0, 0], [0, 0, 0]]",2,[3781737 3781730],0
26,132.0,"[[0, 0, 0], [24, 0, 0], [24, 16.5, 1], [24, 25, 0], [41.0, 25, 0], [41.0, 18.0, 1], [41.0, 0, 0], [0, 0, 0]]",2,[3781722 3781708],0
27,98.0,"[[0, 0, 0], [22.75, 0, 0], [22.75, 13.5, 1], [22.75, 25, 0], [24, 25, 0], [24, 18.0, 1], [24, 0, 0], [0, 0, 0]]",2,[3781698 3781699],0
28,134.5,"[[0, 0, 0], [20.75, 0, 0], [20.75, 16.5, 1], [20.75, 25, 0], [42.25, 25, 0], [42.25, 12.0, 1], [42.25, 0, 0], [0, 0, 0]]",2,[3781691 3781687],0
29,136.0,"[[0, 0, 0], [34.5, 0, 0], [34.5, 9.0, 1], [34.5, 0, 0], [45.5, 0, 0], [45.5, 13.5, 1], [45.5, 0, 0], [0, 0, 0]]",2,[3781682 3781680],0
30,138.5,"[[0, 0, 0], [24, 0, 0], [24, 19.5, 1], [24, 25, 0], [44.25, 25, 0], [44.25, 15.0, 1], [44.25, 0, 0], [0, 0, 0]]",2,[3781681 3781669],0
31,115.0,"[[0, 0, 0], [26, 0, 0], [26, 15.0, 1], [26, 25, 0], [32.5, 25, 0], [32.5, 21.0, 1], [32.5, 0, 0], [0, 0, 0]]",2,[3781657 3781560],0
32,117.0,"[[0, 0, 0], [22.75, 0, 0], [22.75, 13.5, 1], [22.75, 0, 0], [34.5, 0, 0], [34.5, 10.5, 1], [34.5, 0, 0], [0, 0, 0]]",2,[3781548 3781509],0
33,141.0,"[[0, 0, 0], [20.75, 0, 0], [20.75, 12.0, 1], [20.75, 25, 0], [45.5, 25, 0], [45.5, 16.5, 1], [45.5, 0, 0], [0, 0, 0]]",2,[3781499 3781490],0
34,93.0,"[[0, 0, 0], [34.5, 0, 0], [34.5, 12.0, 1], [34.5, 0, 0], [0, 0, 0]]",2,[3781488],0
